step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1888496828_stopped,1888496828_accumulated_waiting_time,1888496828_average_speed,cluster_316828833_4985908780_stopped,cluster_316828833_4985908780_accumulated_waiting_time,cluster_316828833_4985908780_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.4333692897297445,1,0.0,0.24588154341596344,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.898092806820497,1,0.0,0.5615347236419811,0,0.0,1.0,1,0.0
15.0,2,1.0,0.07692307692307693,8.614716778852225,2,1.0,0.6107825905021209,0,0.0,1.0,2,1.0
20.0,2,9.0,0.5294117647058824,9.07593966195644,2,9.0,0.6499158677239973,0,0.0,1.0,2,9.0
25.0,6,21.0,0.9130434782608695,8.3063630725475,6,21.0,0.6072465261790375,0,0.0,1.0,6,21.0
30.0,4,38.0,1.3571428571428572,9.050547684704522,4,38.0,0.6389916164265562,0,0.0,1.0,4,38.0
35.0,6,59.0,1.7352941176470589,8.479374954372238,6,59.0,0.6135837966089286,0,0.0,1.0,6,59.0
40.0,12,92.0,2.358974358974359,7.67740095979869,12,92.0,0.5416939178268972,0,0.0,0.5543443200259456,12,92.0
45.0,10,135.0,3.13953488372093,7.149789955095567,10,135.0,0.50378516396559,0,0.0,0.9009591630636866,10,135.0
50.0,9,63.0,1.3695652173913044,6.627176928693375,9,137.0,0.4498266932191579,0,0.0,1.0,9,137.0
55.0,8,30.0,0.625,6.963130485012912,8,161.0,0.4646905249501063,0,0.0,1.0,8,161.0
60.0,7,28.0,0.509090909090909,6.9047398621730505,7,181.0,0.4385007932983724,0,0.0,1.0,7,181.0
65.0,18,85.0,1.5178571428571428,5.382042429157762,18,238.0,0.3157254973145589,0,0.0,1.0,18,238.0
70.0,24,138.0,2.3793103448275863,4.152810546027194,24,282.0,0.2521050724452196,0,0.0,1.0,24,282.0
75.0,25,191.0,3.1311475409836067,4.1146483174914605,25,314.0,0.23902221726666284,0,0.0,1.0,25,314.0
80.0,24,275.0,4.296875,4.331686797873696,24,436.0,0.2329646272021734,0,0.0,1.0,24,436.0
85.0,28,393.0,5.865671641791045,3.9326666880599093,28,563.0,0.20668181166817381,0,0.0,1.0,28,563.0
90.0,32,499.0,7.231884057971015,3.0769612858505986,32,664.0,0.17057201563021088,0,0.0,1.0,32,664.0
95.0,30,611.0,8.36986301369863,3.6880747610171554,29,739.0,0.19845660373118276,0,0.0,0.47838141107422694,29,739.0
100.0,33,750.0,10.0,3.433113087971452,31,855.0,0.1882992483572412,0,0.0,0.9717857356711328,31,855.0
105.0,37,914.0,11.717948717948717,3.4358067634285145,35,993.0,0.18129244898027216,0,0.0,1.0,35,993.0
110.0,44,1111.0,13.716049382716049,2.8753255717481094,42,1171.0,0.15228074994798502,0,0.0,0.6615412248639858,42,1171.0
115.0,47,1337.0,15.916666666666666,3.0059451360678713,45,1371.0,0.1545260222246054,0,0.0,0.9506116809508326,45,1371.0
120.0,54,1518.0,17.25,2.4728825443891322,54,1612.0,0.12614729963398025,0,0.0,0.3710331565500205,54,1612.0
125.0,53,1682.0,18.68888888888889,2.2319006106774166,52,1834.0,0.10537894769111888,0,0.0,0.970948841013513,52,1834.0
130.0,58,1892.0,20.565217391304348,1.7488001646614761,57,2081.0,0.08218797688251789,0,0.0,0.8656354880694932,57,2081.0
135.0,60,2098.0,21.19191919191919,1.9367562976936534,60,2369.0,0.08421193049848162,0,0.0,0.9942436158542923,60,2369.0
